analog,multimeter
18,0.5
28,0.749
39,0.999
49,1.249
59,1.5
70,1.75
80,2.0
91,2.25
100,2.5
111,2.75
121,3.0
131,3.25
141,3.5
151,3.75
161,4.0
172,4.25
182,4.5
192,4.75
202,5.0
212,5.25
223,5.5
232,5.75
244,6.01
254,6.25
264,6.5
274,6.75
284,7.0
294,7.25
304,7.5
315,7.75
325,7.99
335,8.25
347,8.52
357,8.76
366,9.0
377,9.26
387,9.5
398,9.76
407,10.0
417,10.25
427,10.5
438,10.74
448,11.0
459,11.26
470,11.51
478,11.74
489,12.0
499,12.24
510,12.5
520,12.74
531,13.0
541,13.25
551,13.51
561,13.75
572,14.0
581,14.25
592,14.5
603,14.75
613,15.01
623,15.25
633,15.5
643,15.76
653,16.0
663,16.24
674,16.52
684,16.75
694,17.0
704,17.24
714,17.5
724,17.75
735,18.0
745,18.26
755,18.5
765,18.74
777,19.01
787,19.25
796,19.49
807,19.75
819,20.0
860,21.0
902,22.0
942,23.0
983,24.0
